Product Sizes,Product Colors,Product ID
5,27,B0BGPVXC2L
5,18,B0C7DJ847L
5,14,B0C6GPLNPC
5,18,B0C65WCS8R
6,6,B016LJ6FUM
6,26,B0C332W6NB
6,20,B0C7KBZXL6
5,26,B0BFHX1FP8
6,7,B016YKIF60
6,27,B0B5H33HTJ
6,24,B0C2TQGRY6
6,8,B0CB4N7YNH
5,16,B0C7BHZCZG
6,21,B0B4JTS1ZP
6,30,B0B9RZXS5Y
6,30,B09D2YTC3V
6,39,B099J3XWRP
6,20,B09DPGCRFT
5,13,B09PH616BG
5,18,B0BM4YL9T4
5,18,B0CB834D73
7,10,B0C6T9HZ58
5,10,B07WT32153
6,39,B09TDRR2FS
6,29,B08L3F7ZMS
6,10,B09C885FGL
7,15,B0C4F3H885
6,15,B09J88G3JJ
8,25,B08CKVDH8W
9,38,B071FFZ2KV
5,17,B0C5RC8MGR
6,12,B0CH6LDTV5
7,45,B099N1FD7Y
6,19,B0C4PJCV49
6,35,B098QXRBF1
7,19,B08GK7HCBN
6,15,B08DHJ8N6Y
7,17,B0CHJKNHRJ
5,27,B08KZDJQYZ
5,15,B0C7KD1D2Q
9,0,B07JG1N6CP
5,12,B0C7KJHPGK
6,29,B0BFVNQSXH
6,24,B0C3VG6KLJ
6,19,B07KT5MX3N
6,19,B09DPMX1NZ
6,12,B0CCV6FVRF
7,28,B01G4GEOK0
13,30,B0869B1YT4
7,27,B0B1J22QWX
5,16,B0C8T3M3T7
5,5,B0CGK1399M
6,11,B0C49GHJBN
6,16,B0CC9BWPK9
17,37,B07VRBB6BF
8,28,B0B5TX66KG
5,21,B0CFY8XS8K
6,12,B0C7KDXJ9R
5,14,B09FDKQN1Y
6,17,B0C45WYW3R
6,26,B0B3M98SMC
5,16,B0BKK6ZLQL
7,11,B08XQY79K1
7,38,B0B6PFS8YQ
6,39,B09K7D6SRJ
6,18,B0B9N6J9TZ
7,9,B08XQYNGP2
5,6,B0CF5H1QHQ
5,9,B0CD4B4S1S
12,16,B07BJ8NLF7
6,26,B0B97N5141
7,37,B098JP6VY1
6,9,B0C9DHBF4L
6,9,B0CCXP737C
6,21,B0BBLB9S8Q
6,24,B09B3Z97RN
6,4,B01I94LOUS
10,0,B07CCXW25P
6,12,B0C5HYXYVH
5,12,B0C9T87FBD
7,3,B074N33ZVS
5,10,B0CBCBHSKH
5,12,B0CFFJ19XK
6,11,B0992GC87H
6,41,B08LNMHMTJ
5,15,B0CBTT4XQS
6,8,B0CB6G7KFY
8,45,B01N7JTM53
6,15,B0B5PDMJ97
6,12,B0CFM661SL
6,17,B0CBPM4XQ7
7,12,B07X2JQM7W
7,29,B08GQYRSFK
7,34,B0995N4Z3Y
7,35,B09FP6XHM9
6,10,B0CBQHLQHK
5,16,B0CFFBL8J8
7,34,B09MYYVKR5
6,16,B0B7LM63HD
6,7,B09BVMJP7P
